ID/name,item_code,item_group,stock_uom,variant_of,item_name,gst_hsn_code,is_nil_exempt,is_non_gst,is_item_from_hub,disabled,allow_alternative_item,is_stock_item,include_item_in_manufacturing,opening_stock,valuation_rate,standard_rate,is_fixed_asset,auto_create_assets,asset_category,asset_naming_series,over_delivery_receipt_allowance,over_billing_allowance,brand,description,shelf_life_in_days,end_of_life,default_material_request_type,valuation_method,warranty_period,weight_per_unit,weight_uom,has_batch_no,create_new_batch,batch_number_series,has_expiry_date,retain_sample,sample_quantity,has_serial_no,serial_no_series,has_variants,variant_based_on,is_purchase_item,purchase_uom,min_order_qty,safety_stock,lead_time_days,last_purchase_rate,is_customer_provided_item,customer,delivered_by_supplier,country_of_origin,customs_tariff_number,sales_uom,is_sales_item,max_discount,deferred_revenue_account,enable_deferred_revenue,no_of_months,deferred_expense_account,enable_deferred_expense,no_of_months_exp,inspection_required_before_purchase,inspection_required_before_delivery,quality_inspection_template,default_bom,is_sub_contracted_item,default_item_manufacturer,default_manufacturer_part_no,show_in_website,show_variant_in_website,route,weightage,slideshow,website_image,thumbnail,website_warehouse,web_long_description,website_content,publish_in_hub,hub_category_to_publish,hub_warehouse,synced_with_hub,~,name,barcode,barcode_type,~,name,warehouse,warehouse_reorder_level,material_request_type,warehouse_group,warehouse_reorder_qty,~,name,uom,conversion_factor,~,name,attribute,variant_of,attribute_value,numeric_values,from_range,increment,to_range,~,name,company,default_warehouse,default_price_list,buying_cost_center,default_supplier,expense_account,selling_cost_center,income_account,~,name,supplier,supplier_part_no,~,name,ref_code,customer_name,customer_group,~,name,item_tax_template,tax_category,valid_from,~,name,item_group,~,name,label,description
"""TCC-001-7500-17000""",TCC-001-7500-17000,Soil,bore,TCC-001,Soil Investigation-7500-17000,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Soil Investigation-7500-17000,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""bfe05e4f16""",bore,1.0,,"""d7d90fbd4b""",up to 10m,TCC-001,7500,0,0.0,0.0,0.0,,"""a7c2a57e1a""",Testing and Consultancy Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""9780c24c6c""",10m - 20m,TCC-001,17000,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-001-7500-16050""",TCC-001-7500-16050,Soil,bore,TCC-001,Soil Investigation-7500-16050,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Soil Investigation-7500-16050,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""d1a156dfbd""",bore,1.0,,"""ebb16a2123""",up to 10m,TCC-001,7500,0,0.0,0.0,0.0,,"""1f54e84da0""",Testing and Consultancy Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""a651205189""",10m - 20m,TCC-001,16050,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-001-7500-15100""",TCC-001-7500-15100,Soil,bore,TCC-001,Soil Investigation-7500-15100,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Soil Investigation-7500-15100,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""3b503d391b""",bore,1.0,,"""a404da9d61""",up to 10m,TCC-001,7500,0,0.0,0.0,0.0,,"""305498ab2f""",Testing and Consultancy Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""a3a840c5ca""",10m - 20m,TCC-001,15100,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-001-7500-14150""",TCC-001-7500-14150,Soil,bore,TCC-001,Soil Investigation-7500-14150,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Soil Investigation-7500-14150,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""380cf45f32""",bore,1.0,,"""123fbc6a9c""",up to 10m,TCC-001,7500,0,0.0,0.0,0.0,,"""9b347d8f7a""",Testing and Consultancy Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""939de05d89""",10m - 20m,TCC-001,14150,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-001-7500-13200""",TCC-001-7500-13200,Soil,bore,TCC-001,Soil Investigation-7500-13200,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Soil Investigation-7500-13200,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""a80a32ab57""",bore,1.0,,"""bfe468cf32""",up to 10m,TCC-001,7500,0,0.0,0.0,0.0,,"""18cbe7f59b""",Testing and Consultancy Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""410b6a3058""",10m - 20m,TCC-001,13200,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-001-7500-12250""",TCC-001-7500-12250,Soil,bore,TCC-001,Soil Investigation-7500-12250,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Soil Investigation-7500-12250,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""7053ee3c91""",bore,1.0,,"""4f74550093""",up to 10m,TCC-001,7500,0,0.0,0.0,0.0,,"""6cfe336ad2""",Testing and Consultancy Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""3110b22b7f""",10m - 20m,TCC-001,12250,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-001-7500-11300""",TCC-001-7500-11300,Soil,bore,TCC-001,Soil Investigation-7500-11300,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Soil Investigation-7500-11300,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""7a050d0abf""",bore,1.0,,"""796f6de0c7""",up to 10m,TCC-001,7500,0,0.0,0.0,0.0,,"""f91047fd75""",Testing and Consultancy Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""77c271e02d""",10m - 20m,TCC-001,11300,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-001-7500-10350""",TCC-001-7500-10350,Soil,bore,TCC-001,Soil Investigation-7500-10350,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Soil Investigation-7500-10350,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""d2f102890a""",bore,1.0,,"""32b9ddb650""",up to 10m,TCC-001,7500,0,0.0,0.0,0.0,,"""523f103e5d""",Testing and Consultancy Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""394a98e700""",10m - 20m,TCC-001,10350,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-001-7500-9400""",TCC-001-7500-9400,Soil,bore,TCC-001,Soil Investigation-7500-9400,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Soil Investigation-7500-9400,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""7ae882eeff""",bore,1.0,,"""1a79a7bf9c""",up to 10m,TCC-001,7500,0,0.0,0.0,0.0,,"""1067b49241""",Testing and Consultancy Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""8401fa36a0""",10m - 20m,TCC-001,9400,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-001-7500-8450""",TCC-001-7500-8450,Soil,bore,TCC-001,Soil Investigation-7500-8450,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Soil Investigation-7500-8450,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""9b79580dd9""",bore,1.0,,"""f52a7edeb0""",up to 10m,TCC-001,7500,0,0.0,0.0,0.0,,"""48382950b6""",Testing and Consultancy Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""6696862bdd""",10m - 20m,TCC-001,8450,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TCC-001-7500-7500""",TCC-001-7500-7500,Soil,bore,TCC-001,Soil Investigation-7500-7500,,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,0.0,0.0,,Soil Investigation-7500-7500,0,31-12-2099,Purchase,,,0.0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0.0,0.0,0,0.0,0,,0,India,,,1,0.0,,0,0,,0,0,0,0,,,0,,,0,0,,0,,,,,,,0,,,0,,,,,,,,,,,,,"""5377b26450""",bore,1.0,,"""dd94830a0a""",up to 10m,TCC-001,7500,0,0.0,0.0,0.0,,"""8a76b75065""",Testing and Consultancy Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""499f1942b7""",10m - 20m,TCC-001,7500,0,0.0,0.0,0.0,,"""851fb00887""",Testing and Consultancy Cell2,,,,,,,Sales - TCC2,,,,,,,,,,,,,,,,,,,,,
